owner,id,title,description,summary,version,tags,dois,visibility,files,status,created,updated,accessLevel,versionDois,isProject,properties,license,assetStatus,dataset_url
makeovermonday,2023w7,2023/W7: Global Electric Vehicle Market Share,Global Electric Vehicle Market Share,"---
{""editor"":""simple""}
---
## **Original Visualization**
![](https://mediauploads.data.world/7b04832e429e44e5e0881e90fed985fda500eca0a2ab387e7977119308471bb5_CleanShot_2023_01_14_at_11.16.23_2x.png)

​

## **Resources**
[Global Electric Vehicle Market Share](https://www.counterpointresearch.com/global-electric-vehicle-market-share/)
Data Source: [Counterpoint Research](https://www.counterpointresearch.com/global-electric-vehicle-market-share/)

​",ecbb53fd-4a19-48f6-8479-414eb7efccd4,"['makeover monday', 'cars', 'vehicles', 'electric', 'ev', 'market share', 'manufacturer']",[],OPEN,"[{'name': 'Global Electric Vehicle Market Share.xlsx', 'sizeInBytes': 9138, 'created': '2023-01-14T22:15:44.667503822Z', 'updated': '2023-01-14T22:15:44.667503822Z', 'createdBy': 'vizwiz', 'updatedBy': 'vizwiz'}]",LOADED,2023-01-14T22:14:41.641940969Z,2023-02-12T20:33:58.390074857Z,READ,[],False, , , ,https://data.world/makeovermonday/2023w7
smartcolumbusos,650b7e59-afd3-4c40-9bfc-8d614610b77b,Connected Electric Autonomous Vehicle,Connected Electric Autonomous Vehicle,"A rolling snapshot of data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles traveled, passengers counts per trip and per stop, battery performance, etc., Note: Historical data is published at midnight EST for all shifts that are older than 24 hours. This means that data for the day of January 2nd will be available via the API starting at midnight EST on January 4th.

Source: https://ckan.smartcolumbusos.com/dataset/connected-electric-autonomous-vehicle  
Last updated at https://ckan.smartcolumbusos.com/dataset : 2019-02-27  
",fd9659bc-8303-4440-b8c6-971a63830953,['autonomous'], ,OPEN,"[{'name': 'ceav-route-segments-data-dictionary-3.csv', 'sizeInBytes': 422, 'created': '2019-03-04T18:36:32.926Z', 'updated': '2019-03-04T18:36:32.926Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'ceav-routes-data-dictionary-5.csv', 'sizeInBytes': 265, 'created': '2019-02-01T05:30:37.728Z', 'updated': '2019-02-01T05:30:37.728Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'ceav-shift-segments-data-dictionary-9.csv', 'sizeInBytes': 969, 'created': '2019-02-01T05:30:37.728Z', 'updated': '2019-02-01T05:30:37.728Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'ceav-shifts-data-dictionary-2.csv', 'sizeInBytes': 764, 'created': '2019-03-04T18:36:32.926Z', 'updated': '2019-03-04T18:36:32.926Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'ceav-vehicle-locations-data-dictionary-8.csv', 'sizeInBytes': 380, 'created': '2019-02-01T05:30:37.728Z', 'updated': '2019-02-01T05:30:37.728Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'smrt-ceav-route-segments-csv-7.csv', 'sizeInBytes': 536, 'created': '2019-02-01T05:30:37.728Z', 'updated': '2019-02-01T05:30:37.728Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'smrt-ceav-routes-csv-6.csv', 'sizeInBytes': 182, 'created': '2019-02-01T05:30:37.728Z', 'updated': '2019-02-01T05:30:37.728Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'smrt-ceav-shift-segments-csv-10.csv', 'sizeInBytes': 274950, 'created': '2019-02-01T05:30:37.728Z', 'updated': '2019-02-01T05:30:37.728Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'smrt-ceav-shifts-csv-4.csv', 'sizeInBytes': 38915, 'created': '2019-02-01T05:30:37.728Z', 'updated': '2019-02-01T05:30:37.728Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'smrt-ceav-vehicle-locations-csv-1.csv', 'sizeInBytes': 2681308, 'created': '2019-01-17T16:56:10.291Z', 'updated': '2019-01-17T16:56:10.291Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}]",LOADED,2019-01-17T16:56:04.554Z,2019-03-04T18:36:32.927Z,READ,[],False, ,CC-BY, ,https://data.world/smartcolumbusos/650b7e59-afd3-4c40-9bfc-8d614610b77b
townofcary,electric-vehicle-charging-stations,Electric Vehicle Charging Stations,"

This dataset contains session details from publicly available, Town-owned ","This dataset contains session details from publicly available, Town-owned electric vehicle charging stations. The dataset does not include the EV charging station located at Herb Young Community Center Parking Deck (121 Wilkinson Avenue Cary, NC 27513) although it is operational. The dataset is updated monthly.

Source: https://data.townofcary.org/explore/dataset/electric-vehicle-charging-stations/  
Last updated at https://data.townofcary.org/explore/ : 2022-06-01  
",0ca9d7a1-55cf-47e3-9e31-26376a607b63,"['electric vehicle', 'environment', 'energy']",[],OPEN,"[{'name': 'electric-vehicle-charging-stations-1.csv', 'sizeInBytes': 192994, 'created': '2022-04-24T23:45:48.354Z', 'updated': '2022-04-24T23:45:48.354Z', 'labels': [], 'createdBy': 'townofcary', 'updatedBy': 'townofcary'}, {'name': 'electric-vehicle-charging-stations-2.json', 'sizeInBytes': 453905, 'created': '2022-04-24T23:45:48.372Z', 'updated': '2022-04-24T23:45:48.372Z', 'labels': [], 'createdBy': 'townofcary', 'updatedBy': 'townofcary'}, {'name': 'electric-vehicle-charging-stations-4.json', 'sizeInBytes': 448740, 'created': '2022-04-24T23:45:48.403Z', 'updated': '2022-04-24T23:45:48.403Z', 'labels': [], 'createdBy': 'townofcary', 'updatedBy': 'townofcary'}, {'name': 'electric-vehicle-charging-stations-5.json', 'sizeInBytes': 4277, 'created': '2022-04-24T23:45:48.422Z', 'updated': '2022-04-24T23:45:48.422Z', 'labels': [], 'createdBy': 'townofcary', 'updatedBy': 'townofcary'}, {'name': 'electric-vehicle-charging-stations.dbf', 'sizeInBytes': 4977473, 'created': '2022-06-05T09:21:10.372Z', 'updated': '2022-06-05T09:21:10.372Z', 'createdBy': 'townofcary', 'updatedBy': 'townofcary'}, {'name': 'electric-vehicle-charging-stations.prj', 'sizeInBytes': 143, 'created': '2022-06-05T09:21:10.372Z', 'updated': '2022-06-05T09:21:10.372Z', 'createdBy': 'townofcary', 'updatedBy': 'townofcary'}, {'name': 'electric-vehicle-charging-stations.shp', 'sizeInBytes': 55932, 'created': '2022-06-05T09:21:10.372Z', 'updated': '2022-06-05T09:21:10.372Z', 'createdBy': 'townofcary', 'updatedBy': 'townofcary'}, {'name': 'electric-vehicle-charging-stations.shx', 'sizeInBytes': 16052, 'created': '2022-06-05T09:21:10.372Z', 'updated': '2022-06-05T09:21:10.372Z', 'createdBy': 'townofcary', 'updatedBy': 'townofcary'}]",LOADED,2022-04-24T23:45:29.582Z,2022-06-05T09:21:10.372Z,READ,[],False, ,ODC-ODbL, ,https://data.world/townofcary/electric-vehicle-charging-stations
data-ny-gov,thd2-fu8y,NYSERDA Electric Vehicle Drive Clean Rebate Data: Be... 2017,"New York State’s Charge NY initiative offers electric car buyers the Drive Clean Rebate of up to $2,000 for new ...","*Original Title*: NYSERDA Electric Vehicle Drive Clean Rebate Data: Beginning 2017

New York State’s Charge NY initiative offers electric car buyers the Drive Clean Rebate of up to $2,000 for new car purchases or leases. The rebate amount depends on the battery-only range of each vehicle. Dealers enrolled in the program deduct the eligible amount from the vehicle price at the point of sale and then submit a rebate application with NYSERDA. This dataset includes all completed rebate applications as of the data through date. The New York State Energy Research and Development Authority (NYSERDA) offers objective information and analysis, innovative programs, technical expertise, and support to help New Yorkers increase energy efficiency, save money, use renewable energy, and accelerate economic growth. reduce reliance on fossil fuels. To learn more about NYSERDA’s programs, visit nyserda.ny.gov or follow us on Twitter, Facebook, YouTube, or Instagram.

Source: https://data.ny.gov/d/thd2-fu8y  
Last updated at https://data.ny.gov/data.json : 2020-10-02  
Before using the data, download the Terms of Service, https://data.ny.gov/download/77gx-ii52/application/pdf, to read the data license requirements.

",dab0adef-3132-420e-96da-46d5ed67fd12,"['ev', 'electric vehicle', 'bev', 'phev', 'ghg', 'drive clean rebate', 'dealers', 'charge ny', 'mpge', 'battery', 'hybrid', 'greenhouse gas emissions', 'energy environment']", ,OPEN,"[{'name': 'nyserda-electric-vehicle-drive-clean-rebate-data-beginning-2017-1.csv', 'sizeInBytes': 1887900, 'created': '2020-05-07T10:40:13.878Z', 'updated': '2020-05-07T10:40:13.878Z', 'labels': [], 'createdBy': 'stateofny', 'updatedBy': 'stateofny'}]",LOADED,2020-05-07T10:40:12.479Z,2020-10-08T07:21:12.771Z,READ,[],False, ,Other, ,https://data.world/data-ny-gov/thd2-fu8y
us-doe-gov,8ae7e117-313b-40b1-b146-83add97d400b,Impact of uncoordinated plug-in electric vehicle charging...,Impact of uncoordinated plug-in electric vehicle charging on residential power demand - supplementary data,"*Original Title*: Impact of uncoordinated plug-in electric vehicle charging on residential power demand - supplementary data

This data set is provided in support of a forthcoming paper: ""Impact of uncoordinated plug-in electric vehicle charging on residential power demand,"" [1]. These files include electricity demand profiles for 200 households randomly selected among the ones available in the 2009 RECS data set for the Midwest region of the United States. The profiles have been generated using the modeling proposed by Muratori et al. [2], [3], that produces realistic patterns of residential power consumption, validated using metered data, with a resolution of 10 minutes. Households vary in size and number of occupants and the profiles represent total electricity use, in watts. The files also include in-home plug-in electric vehicle recharging profiles for 348 vehicles associated with the 200 households assuming both Level 1 (1920 W) and Level 2 (6600 W) residential charging infrastructure. The vehicle recharging profiles have been generated using the modeling proposed by Muratori et al. [4], that produces real-world recharging demand profiles, with a resolution of 10 minutes. [1] M. Muratori, ""Impact of uncoordinated plug-in electric vehicle charging on residential power demand."" Forthcoming. [2] M. Muratori, M. C. Roberts, R. Sioshansi, V. Marano, and G. Rizzoni, ""A highly resolved modeling technique to simulate residential power demand,"" Applied Energy, vol. 107, no. 0, pp. 465 - 473, 2013. https://doi.org/10.1016/j.apenergy.2013.02.057 [3] M. Muratori, V. Marano, R. Sioshansi, and G. Rizzoni, ""Energy consumption of residential HVAC systems: a simple physically-based model,"" in 2012 IEEE Power and Energy Society General Meeting. San Diego, CA, USA: IEEE, 22-26 July 2012. https//doi.org/10.1109/PESGM.2012.6344950 [4] M. Muratori, M. J. Moran, E. Serra, and G. Rizzoni, ""Highly-resolved modeling of personal transportation energy consumption in the United States,"" Energy, vol. 58, no. 0, pp. 168-177, 2013. https://doi.org/10.1016/j.energy.2013.02.055

Source: https://catalog.data.gov/dataset/impact-of-uncoordinated-plug-in-electric-vehicle-charging-on-residential-power-demand-supp-31006  
Last updated at https://catalog.data.gov/organization/doe-gov : 2019-08-01  
",9e507834-36e2-4cba-bddc-945248fc326a,"['battery', 'consumption', 'data', 'energy', 'hybrid', 'midwest', 'nrel', 're', 'recharging', 'usa']", ,OPEN,"[{'name': 'pev-profiles-l1-xlsx-1.xlsx', 'sizeInBytes': 58956349, 'created': '2018-08-27T17:28:54.170Z', 'updated': '2018-08-27T17:28:54.170Z', 'labels': [], 'createdBy': 'datagov-us', 'updatedBy': 'datagov-us'}, {'name': 'pev-profiles-l2-xlsx-2.xlsx', 'sizeInBytes': 54616201, 'created': '2018-08-27T17:28:54.170Z', 'updated': '2018-08-27T17:28:54.170Z', 'labels': [], 'createdBy': 'datagov-us', 'updatedBy': 'datagov-us'}, {'name': 'residential-profiles-xlsx-3.xlsx', 'sizeInBytes': 70995649, 'created': '2018-08-27T17:28:54.170Z', 'updated': '2018-08-27T17:28:54.170Z', 'labels': [], 'createdBy': 'datagov-us', 'updatedBy': 'datagov-us'}]",LOADED,2018-08-27T17:28:30.547Z,2019-08-03T19:12:02.261Z,READ,[],False, ,CC-BY, ,https://data.world/us-doe-gov/8ae7e117-313b-40b1-b146-83add97d400b
jeffgswanson,electric-vehicle-by-year,Electric Vehicle by Year,"Manufacturer, model, miles per charge, etc. by year from U.S. Department of Energy", ,a815564f-9b44-4750-8a46-18e4fff98b88,"['vehicles', 'electric']", ,OPEN,"[{'name': 'Vehicles.csv', 'sizeInBytes': 48537, 'created': '2017-03-12T21:05:10.967Z', 'updated': '2017-03-12T21:05:10.967Z', 'createdBy': 'jeffgswanson', 'updatedBy': 'jeffgswanson'}]",LOADED,2017-03-12T21:03:38.710Z,2017-03-12T21:07:42.790Z,READ,[],False, , , ,https://data.world/jeffgswanson/electric-vehicle-by-year
us-doe-gov,3f032a3c-7dc0-4f54-9f51-534b2e248f80,Impact of uncoordinated plug-in electric vehicle charging...,Impact of uncoordinated plug-in electric vehicle charging on residential power demand - supplementary data,"*Original Title*: Impact of uncoordinated plug-in electric vehicle charging on residential power demand - supplementary data

This data set is provided in support of a forthcoming paper: ""Impact of uncoordinated plug-in electric vehicle charging on residential power demand,"" [1]. These files include electricity demand profiles for 200 households randomly selected among the ones available in the 2009 RECS data set for the Midwest region of the United States. The profiles have been generated using the modeling proposed by Muratori et al. [2], [3], that produces realistic patterns of residential power consumption, validated using metered data, with a resolution of 10 minutes. Households vary in size and number of occupants and the profiles represent total electricity use, in watts. The files also include in-home plug-in electric vehicle recharging profiles for 348 vehicles associated with the 200 households assuming both Level 1 (1920 W) and Level 2 (6600 W) residential charging infrastructure. The vehicle recharging profiles have been generated using the modeling proposed by Muratori et al. [4], that produces real-world recharging demand profiles, with a resolution of 10 minutes. [1] M. Muratori, ""Impact of uncoordinated plug-in electric vehicle charging on residential power demand."" Forthcoming. [2] M. Muratori, M. C. Roberts, R. Sioshansi, V. Marano, and G. Rizzoni, ""A highly resolved modeling technique to simulate residential power demand,"" Applied Energy, vol. 107, no. 0, pp. 465 - 473, 2013. https://doi.org/10.1016/j.apenergy.2013.02.057 [3] M. Muratori, V. Marano, R. Sioshansi, and G. Rizzoni, ""Energy consumption of residential HVAC systems: a simple physically-based model,"" in 2012 IEEE Power and Energy Society General Meeting. San Diego, CA, USA: IEEE, 22-26 July 2012. https//doi.org/10.1109/PESGM.2012.6344950 [4] M. Muratori, M. J. Moran, E. Serra, and G. Rizzoni, ""Highly-resolved modeling of personal transportation energy consumption in the United States,"" Energy, vol. 58, no. 0, pp. 168-177, 2013. https://doi.org/10.1016/j.energy.2013.02.055

Source: https://catalog.data.gov/dataset/impact-of-uncoordinated-plug-in-electric-vehicle-charging-on-residential-power-demand-supp  
Last updated at https://catalog.data.gov/organization/doe-gov : 2019-09-03  
",cd0e6dc0-b61c-4b40-8ede-98d3cb57d740,"['battery', 'consumption', 'data', 'energy', 'hybrid', 'midwest', 'nrel', 're', 'recharging', 'usa']", ,OPEN,"[{'name': 'pev-profiles-l1-xlsx-1.xlsx', 'sizeInBytes': 58956349, 'created': '2019-09-12T00:44:24.619Z', 'updated': '2019-09-12T00:44:24.619Z', 'labels': [], 'createdBy': 'datagov-us', 'updatedBy': 'datagov-us'}, {'name': 'pev-profiles-l2-xlsx-2.xlsx', 'sizeInBytes': 54616201, 'created': '2019-09-12T00:44:24.619Z', 'updated': '2019-09-12T00:44:24.619Z', 'labels': [], 'createdBy': 'datagov-us', 'updatedBy': 'datagov-us'}, {'name': 'residential-profiles-xlsx-3.xlsx', 'sizeInBytes': 70995649, 'created': '2019-09-12T00:44:24.619Z', 'updated': '2019-09-12T00:44:24.619Z', 'labels': [], 'createdBy': 'datagov-us', 'updatedBy': 'datagov-us'}]",LOADED,2019-09-12T00:44:09.941Z,2019-09-12T00:44:24.619Z,READ,[],False, ,CC-BY, ,https://data.world/us-doe-gov/3f032a3c-7dc0-4f54-9f51-534b2e248f80
us-epa-gov,f3822503-5d5e-4cac-ab1c-c8c18847bc7e,ENERGY STAR Certified Electric Vehicle Supply Equipment,ENERGY STAR Certified Electric Vehicle Supply Equipment,"Certified models meet all ENERGY STAR requirements as listed in the Version 1.0 ENERGY STAR Program Requirements for Electric Vehicle Supply Equipment that are effective as of December 27, 2016. A detailed listing of key efficiency criteria are available at https://www.energystar.gov/products/evse_key_product_criteria.

Source: https://catalog.data.gov/dataset/energy-star-certified-electric-vehicle-supply-equipment  
Last updated at https://catalog.data.gov/organization/epa-gov : 2020-03-04  
[More about U.S. Government Works](https://www.usa.gov/government-works)

",a0de63a1-2b32-4e54-87d6-0fe8d2a6b164,[], ,OPEN,"[{'name': 'comma-separated-values-file-1.csv', 'sizeInBytes': 19800, 'created': '2018-12-31T09:49:36.962Z', 'updated': '2018-12-31T09:49:36.962Z', 'labels': [], 'createdBy': 'datagov-us', 'updatedBy': 'datagov-us'}]",LOADED,2018-12-31T09:49:34.389Z,2020-03-05T21:38:49.995Z,READ,[],False, ,Public Domain, ,https://data.world/us-epa-gov/f3822503-5d5e-4cac-ab1c-c8c18847bc7e
datagov-uk,38345f02-0437-434b-937f-921f1494362a,Mayor of London & Gnewt Cargo Electric Vehicle Trial,Mayor of London & Gnewt Cargo Electric Vehicle Trial,"The Mayor of London and Gnewt Cargo secured funding from Innovate UK in 2017 to run a commercial electric vehicle trial. The trial ran until the end of December 2019 and evaluated the performance, impact and commercial viability of using electric vehicles for last-mile deliveries in central London. [Find out more about the trial here.](https://www.london.gov.uk/what-we-do/environment/smart-london-and-innovation/smart-london/electric-delivery-vehicle-trial) [**Key Barriers Report**](https://data.london.gov.uk/download/low-emissions-project-diesel-vehicle-baseline/b0e6f3c2-e9df-4e2b-b9e2-d0f469e84853/MOL%20Key%20Barriers%20-%20Final.pdf) This report addresses the key barriers to wider adoption of electric vans within London, with many of the views expressed and solutions proposed obtained from stakeholders through direct engagement. [**Baseline report**](https://data.london.gov.uk/download/low-emissions-project-diesel-vehicle-baseline/bde2d368-0d7f-4161-aeac-386e47183130/MOL%20Baseline%20Report.pdf) This report addresses the baseline exercise carried out using hired diesel vehicles (Nissan NV200 and Fiat Ducato) of an equivalent size to the electric vans to be used in this trial. [**Charging Infrastructure and Network Analysis Report**](https://data.london.gov.uk/download/low-emissions-project-diesel-vehicle-baseline/0725238c-0dd7-4450-92bc-9cb736df6153/Charging%20Infrastructure%20and%20Network%20Analysis%20Report.pdf) This report evaluates the performance and describes the charging requirements and the grid impact of the project trial. It also details early findings from the data collected on the existing fleet and trial vehicles. [**Charging Infrastructure and Grid Analysis Report Refresh**](https://data.london.gov.uk/download/low-emissions-project-diesel-vehicle-baseline/6cf96c7d-3f75-448f-ab04-cbbf0b51cbde/Charging%20Infrastructure%20and%20Grid%20Analysis%20report%20refresh.pdf) This report presents the grid and network implications of electric vehicle (EV) uptake by a London delivery fleet, updating the previous report on this topic. [**Operational Costs and Environmental Benefits Assessment**](https://data.london.gov.uk/download/low-emissions-project-diesel-vehicle-baseline/2b1e8ee3-94aa-415b-9330-7eb59443a649/Operational%20Costs%20and%20Emissions%20Benefits%20Assessment.pdf) This report provides an assessment of the relative operational costs and emission benefits of introducing electric LGVs across different scales. **Quarterly Environmental Update Reports** Each report focuses on air pollutant savings for each quarter, presented in terms of vehicle exhaust emissions of oxides of nitrogen, particulate matter and carbon dioxide. [**Final Data Analysis Report**](https://data.london.gov.uk/download/low-emissions-project-diesel-vehicle-baseline/3aeb1ff3-e0a7-4bbd-9dbe-851168db19a1/Final%20Data%20Analysis%20Report.pdf) This report concentrates on the analysis of data (e.g. distance travelled etc.) collected from the Fleetcarma telematics system over the trial of larger, modified EVs of a comparable size to diesel vans.

Source: https://ckan.publishing.service.gov.uk/dataset/mayor-of-london-gnewt-cargo-electric-vehicle-trial  
Last updated at https://ckan.publishing.service.gov.uk/dataset : 2020-02-14  
",6a8edb7a-c385-400b-b645-10ce4e629efa,[], ,OPEN,"[{'name': 'baseline-report-pdf-1.pdf', 'sizeInBytes': 1047258, 'created': '2020-01-24T22:36:59.062Z', 'updated': '2020-01-24T22:36:59.062Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'charging-infrastructure-and-grid-analysis-report-refresh-pdf-6.pdf', 'sizeInBytes': 827880, 'created': '2020-02-16T04:54:06.395Z', 'updated': '2020-02-16T04:54:06.395Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'charging-infrastructure-and-network-analysis-report-pdf-5.pdf', 'sizeInBytes': 793743, 'created': '2020-01-24T22:36:59.062Z', 'updated': '2020-01-24T22:36:59.062Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'final-data-analysis-report-pdf-3.pdf', 'sizeInBytes': 823757, 'created': '2020-01-24T22:36:59.062Z', 'updated': '2020-01-24T22:36:59.062Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'key-barriers-report-pdf-4.pdf', 'sizeInBytes': 888275, 'created': '2020-01-24T22:36:59.062Z', 'updated': '2020-01-24T22:36:59.062Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'operational-costs-and-environmental-benefits-assessment-pdf-2.pdf', 'sizeInBytes': 1255537, 'created': '2020-01-24T22:36:59.062Z', 'updated': '2020-01-24T22:36:59.062Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}, {'name': 'q1-environmental-update-report-pdf-7.pdf', 'sizeInBytes': 407146, 'created': '2020-02-16T04:54:06.395Z', 'updated': '2020-02-16T04:54:06.395Z', 'labels': [], 'createdBy': 'dataworldadmin', 'updatedBy': 'dataworldadmin'}]",LOADED,2020-01-09T05:53:50.960Z,2020-02-16T04:54:06.396Z,READ,[],False, ,OGL, ,https://data.world/datagov-uk/38345f02-0437-434b-937f-921f1494362a
johnsnowlabs,hawaii-public-electric-vehicle-charging-stations,Hawaii Public Electric Vehicle Charging Stations,This Dataset Includes Hawaii’s network of electric vehicle charging stations that help to reduce any range anxiety El...,"This Dataset Includes Hawaii’s network of electric vehicle charging stations that help to reduce any range anxiety Electric vehicle drivers may have.

## COMMERCIAL LICENSE
For subscribing to a **commercial license** for John Snow Labs Data Library which includes all datasets curated and maintained by John Snow Labs please visit [https://www.johnsnowlabs.com/marketplace](https://www.johnsnowlabs.com/marketplace).",01721455-11,[],[],OPEN,"[{'name': 'Hawaii Public Electric Vehicle Charging Stations.csv', 'sizeInBytes': 2916, 'created': '2021-09-18T06:04:28.058Z', 'updated': '2023-09-25T21:25:11.798388380Z', 'description': 'sample csv file', 'labels': ['sample'], 'createdBy': 'johnsnowlabs-data', 'updatedBy': 'johnsnowlabs-data'}, {'name': 'Hawaii Public Electric Vehicle Charging Stations.csv.gz', 'sizeInBytes': 21624, 'created': '2021-09-18T06:04:28.074Z', 'updated': '2023-09-25T21:25:11.798418393Z', 'description': 'Data csv file', 'labels': ['clean data'], 'createdBy': 'johnsnowlabs-data', 'updatedBy': 'johnsnowlabs-data'}, {'name': 'Hawaii Public Electric Vehicle Charging Stations.json', 'sizeInBytes': 5701, 'created': '2021-09-18T06:04:28.090Z', 'updated': '2023-09-25T21:25:11.798435273Z', 'description': 'datapackage file', 'labels': ['documentation'], 'createdBy': 'johnsnowlabs-data', 'updatedBy': 'johnsnowlabs-data'}, {'name': 'Hawaii Public Electric Vehicle Charging Stations.pdf', 'sizeInBytes': 52477, 'created': '2021-09-18T06:04:28.104Z', 'updated': '2023-09-25T21:25:11.798500883Z', 'description': 'pdf file', 'labels': ['report'], 'createdBy': 'johnsnowlabs-data', 'updatedBy': 'johnsnowlabs-data'}]",LOADED,2020-05-26T09:32:25.815Z,2023-09-25T21:25:11.798947692Z,READ,[],False, ,CC BY-NC-SA, ,https://data.world/johnsnowlabs/hawaii-public-electric-vehicle-charging-stations
