title,description,summary,tags,dataset_url,available_formats
"['2023w7', 'global', 'electric', 'vehicle', 'market', 'share']","['global', 'electric', 'vehicle', 'market', 'share']","['editorsimple', 'original', 'visualization', 'httpsmediauploadsdataworld7b04832e429e44e5e0881e90fed985fda500eca0a2ab387e7977119308471bb5cleanshot20230114at1116232xpng', '\u200b', 'resources', 'global', 'electric', 'vehicle', 'market', 'sharehttpswwwcounterpointresearchcomglobalelectricvehiclemarketshare', 'data', 'source', 'counterpoint', 'researchhttpswwwcounterpointresearchcomglobalelectricvehiclemarketshare', '\u200b']","['makeover monday', 'cars', 'vehicles', 'electric', 'ev', 'market share', 'manufacturer']",https://data.world/makeovermonday/2023w7,['xlsx']
"['connected', 'electric', 'autonomous', 'vehicle']","['connected', 'electric', 'autonomous', 'vehicle']","['rolling', 'snapshot', 'data', 'collected', 'connected', 'electric', 'autonomous', 'vehicles', 'operating', 'columbus', 'area', 'data', 'includes', 'vehicle', 'locations', 'routes', 'traveled', 'shifts', 'shift', 'segments', 'insights', 'including', 'passenger', 'miles', 'traveled', 'passengers', 'counts', 'per', 'trip', 'per', 'stop', 'battery', 'performance', 'etc', 'note', 'historical', 'data', 'published', 'midnight', 'est', 'shifts', 'older', '24', 'hours', 'means', 'data', 'day', 'january', '2nd', 'available', 'via', 'api', 'starting', 'midnight', 'est', 'january', '4th', 'source', 'httpsckansmartcolumbusoscomdatasetconnectedelectricautonomousvehicle', 'last', 'updated', 'httpsckansmartcolumbusoscomdataset', '20190227']",['autonomous'],https://data.world/smartcolumbusos/650b7e59-afd3-4c40-9bfc-8d614610b77b,['csv']
"['electric', 'vehicle', 'charging', 'stations']","['dataset', 'contains', 'session', 'details', 'publicly', 'available', 'townowned']","['dataset', 'contains', 'session', 'details', 'publicly', 'available', 'townowned', 'electric', 'vehicle', 'charging', 'stations', 'dataset', 'include', 'ev', 'charging', 'station', 'located', 'herb', 'young', 'community', 'center', 'parking', 'deck', '121', 'wilkinson', 'avenue', 'cary', 'nc', '27513', 'although', 'operational', 'dataset', 'updated', 'monthly', 'source', 'httpsdatatownofcaryorgexploredatasetelectricvehiclechargingstations', 'last', 'updated', 'httpsdatatownofcaryorgexplore', '20220601']","['electric vehicle', 'environment', 'energy']",https://data.world/townofcary/electric-vehicle-charging-stations,"['shx', 'csv', 'shp', 'dbf', 'prj', 'json']"
"['nyserda', 'electric', 'vehicle', 'drive', 'clean', 'rebate', 'data', '2017']","['new', 'york', 'state', '’', 'charge', 'ny', 'initiative', 'offers', 'electric', 'car', 'buyers', 'drive', 'clean', 'rebate', '2000', 'new']","['original', 'title', 'nyserda', 'electric', 'vehicle', 'drive', 'clean', 'rebate', 'data', 'beginning', '2017', 'new', 'york', 'state', '’', 'charge', 'ny', 'initiative', 'offers', 'electric', 'car', 'buyers', 'drive', 'clean', 'rebate', '2000', 'new', 'car', 'purchases', 'leases', 'rebate', 'amount', 'depends', 'batteryonly', 'range', 'vehicle', 'dealers', 'enrolled', 'program', 'deduct', 'eligible', 'amount', 'vehicle', 'price', 'point', 'sale', 'submit', 'rebate', 'application', 'nyserda', 'dataset', 'includes', 'completed', 'rebate', 'applications', 'data', 'date', 'new', 'york', 'state', 'energy', 'research', 'development', 'authority', 'nyserda', 'offers', 'objective', 'information', 'analysis', 'innovative', 'programs', 'technical', 'expertise', 'support', 'help', 'new', 'yorkers', 'increase', 'energy', 'efficiency', 'save', 'money', 'use', 'renewable', 'energy', 'accelerate', 'economic', 'growth', 'reduce', 'reliance', 'fossil', 'fuels', 'learn', 'nyserda', '’', 'programs', 'visit', 'nyserdanygov', 'follow', 'us', 'twitter', 'facebook', 'youtube', 'instagram', 'source', 'httpsdatanygovdthd2fu8y', 'last', 'updated', 'httpsdatanygovdatajson', '20201002', 'using', 'data', 'download', 'terms', 'service', 'httpsdatanygovdownload77gxii52applicationpdf', 'read', 'data', 'license', 'requirements']","['ev', 'electric vehicle', 'bev', 'phev', 'ghg', 'drive clean rebate', 'dealers', 'charge ny', 'mpge', 'battery', 'hybrid', 'greenhouse gas emissions', 'energy environment']",https://data.world/data-ny-gov/thd2-fu8y,['csv']
"['impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging']","['impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging', 'residential', 'power', 'demand', 'supplementary', 'data']","['original', 'title', 'impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging', 'residential', 'power', 'demand', 'supplementary', 'data', 'data', 'set', 'provided', 'support', 'forthcoming', 'paper', 'impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging', 'residential', 'power', 'demand', '1', 'files', 'include', 'electricity', 'demand', 'profiles', '200', 'households', 'randomly', 'selected', 'among', 'ones', 'available', '2009', 'recs', 'data', 'set', 'midwest', 'region', 'united', 'states', 'profiles', 'generated', 'using', 'modeling', 'proposed', 'muratori', 'et', 'al', '2', '3', 'produces', 'realistic', 'patterns', 'residential', 'power', 'consumption', 'validated', 'using', 'metered', 'data', 'resolution', '10', 'minutes', 'households', 'vary', 'size', 'number', 'occupants', 'profiles', 'represent', 'total', 'electricity', 'use', 'watts', 'files', 'also', 'include', 'inhome', 'plugin', 'electric', 'vehicle', 'recharging', 'profiles', '348', 'vehicles', 'associated', '200', 'households', 'assuming', 'level', '1', '1920', 'w', 'level', '2', '6600', 'w', 'residential', 'charging', 'infrastructure', 'vehicle', 'recharging', 'profiles', 'generated', 'using', 'modeling', 'proposed', 'muratori', 'et', 'al', '4', 'produces', 'realworld', 'recharging', 'demand', 'profiles', 'resolution', '10', 'minutes', '1', 'muratori', 'impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging', 'residential', 'power', 'demand', 'forthcoming', '2', 'muratori', 'c', 'roberts', 'r', 'sioshansi', 'v', 'marano', 'g', 'rizzoni', 'highly', 'resolved', 'modeling', 'technique', 'simulate', 'residential', 'power', 'demand', 'applied', 'energy', 'vol', '107', '0', 'pp', '465', '473', '2013', 'httpsdoiorg101016japenergy201302057', '3', 'muratori', 'v', 'marano', 'r', 'sioshansi', 'g', 'rizzoni', 'energy', 'consumption', 'residential', 'hvac', 'systems', 'simple', 'physicallybased', 'model', '2012', 'ieee', 'power', 'energy', 'society', 'general', 'meeting', 'san', 'diego', 'ca', 'usa', 'ieee', '2226', 'july', '2012', 'httpsdoiorg101109pesgm20126344950', '4', 'muratori', 'j', 'moran', 'e', 'serra', 'g', 'rizzoni', 'highlyresolved', 'modeling', 'personal', 'transportation', 'energy', 'consumption', 'united', 'states', 'energy', 'vol', '58', '0', 'pp', '168177', '2013', 'httpsdoiorg101016jenergy201302055', 'source', 'httpscatalogdatagovdatasetimpactofuncoordinatedpluginelectricvehiclechargingonresidentialpowerdemandsupp31006', 'last', 'updated', 'httpscatalogdatagovorganizationdoegov', '20190801']","['battery', 'consumption', 'data', 'energy', 'hybrid', 'midwest', 'nrel', 're', 'recharging', 'usa']",https://data.world/us-doe-gov/8ae7e117-313b-40b1-b146-83add97d400b,['xlsx']
"['electric', 'vehicle', 'year']","['manufacturer', 'model', 'miles', 'per', 'charge', 'etc', 'year', 'us', 'department', 'energy']",[],"['vehicles', 'electric']",https://data.world/jeffgswanson/electric-vehicle-by-year,['csv']
"['impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging']","['impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging', 'residential', 'power', 'demand', 'supplementary', 'data']","['original', 'title', 'impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging', 'residential', 'power', 'demand', 'supplementary', 'data', 'data', 'set', 'provided', 'support', 'forthcoming', 'paper', 'impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging', 'residential', 'power', 'demand', '1', 'files', 'include', 'electricity', 'demand', 'profiles', '200', 'households', 'randomly', 'selected', 'among', 'ones', 'available', '2009', 'recs', 'data', 'set', 'midwest', 'region', 'united', 'states', 'profiles', 'generated', 'using', 'modeling', 'proposed', 'muratori', 'et', 'al', '2', '3', 'produces', 'realistic', 'patterns', 'residential', 'power', 'consumption', 'validated', 'using', 'metered', 'data', 'resolution', '10', 'minutes', 'households', 'vary', 'size', 'number', 'occupants', 'profiles', 'represent', 'total', 'electricity', 'use', 'watts', 'files', 'also', 'include', 'inhome', 'plugin', 'electric', 'vehicle', 'recharging', 'profiles', '348', 'vehicles', 'associated', '200', 'households', 'assuming', 'level', '1', '1920', 'w', 'level', '2', '6600', 'w', 'residential', 'charging', 'infrastructure', 'vehicle', 'recharging', 'profiles', 'generated', 'using', 'modeling', 'proposed', 'muratori', 'et', 'al', '4', 'produces', 'realworld', 'recharging', 'demand', 'profiles', 'resolution', '10', 'minutes', '1', 'muratori', 'impact', 'uncoordinated', 'plugin', 'electric', 'vehicle', 'charging', 'residential', 'power', 'demand', 'forthcoming', '2', 'muratori', 'c', 'roberts', 'r', 'sioshansi', 'v', 'marano', 'g', 'rizzoni', 'highly', 'resolved', 'modeling', 'technique', 'simulate', 'residential', 'power', 'demand', 'applied', 'energy', 'vol', '107', '0', 'pp', '465', '473', '2013', 'httpsdoiorg101016japenergy201302057', '3', 'muratori', 'v', 'marano', 'r', 'sioshansi', 'g', 'rizzoni', 'energy', 'consumption', 'residential', 'hvac', 'systems', 'simple', 'physicallybased', 'model', '2012', 'ieee', 'power', 'energy', 'society', 'general', 'meeting', 'san', 'diego', 'ca', 'usa', 'ieee', '2226', 'july', '2012', 'httpsdoiorg101109pesgm20126344950', '4', 'muratori', 'j', 'moran', 'e', 'serra', 'g', 'rizzoni', 'highlyresolved', 'modeling', 'personal', 'transportation', 'energy', 'consumption', 'united', 'states', 'energy', 'vol', '58', '0', 'pp', '168177', '2013', 'httpsdoiorg101016jenergy201302055', 'source', 'httpscatalogdatagovdatasetimpactofuncoordinatedpluginelectricvehiclechargingonresidentialpowerdemandsupp', 'last', 'updated', 'httpscatalogdatagovorganizationdoegov', '20190903']","['battery', 'consumption', 'data', 'energy', 'hybrid', 'midwest', 'nrel', 're', 'recharging', 'usa']",https://data.world/us-doe-gov/3f032a3c-7dc0-4f54-9f51-534b2e248f80,['xlsx']
"['energy', 'star', 'certified', 'electric', 'vehicle', 'supply', 'equipment']","['energy', 'star', 'certified', 'electric', 'vehicle', 'supply', 'equipment']","['certified', 'models', 'meet', 'energy', 'star', 'requirements', 'listed', 'version', '10', 'energy', 'star', 'program', 'requirements', 'electric', 'vehicle', 'supply', 'equipment', 'effective', 'december', '27', '2016', 'detailed', 'listing', 'key', 'efficiency', 'criteria', 'available', 'httpswwwenergystargovproductsevsekeyproductcriteria', 'source', 'httpscatalogdatagovdatasetenergystarcertifiedelectricvehiclesupplyequipment', 'last', 'updated', 'httpscatalogdatagovorganizationepagov', '20200304', 'us', 'government', 'workshttpswwwusagovgovernmentworks']",[],https://data.world/us-epa-gov/f3822503-5d5e-4cac-ab1c-c8c18847bc7e,['csv']
"['mayor', 'london', 'gnewt', 'cargo', 'electric', 'vehicle', 'trial']","['mayor', 'london', 'gnewt', 'cargo', 'electric', 'vehicle', 'trial']","['mayor', 'london', 'gnewt', 'cargo', 'secured', 'funding', 'innovate', 'uk', '2017', 'run', 'commercial', 'electric', 'vehicle', 'trial', 'trial', 'ran', 'end', 'december', '2019', 'evaluated', 'performance', 'impact', 'commercial', 'viability', 'using', 'electric', 'vehicles', 'lastmile', 'deliveries', 'central', 'london', 'find', 'trial', 'herehttpswwwlondongovukwhatwedoenvironmentsmartlondonandinnovationsmartlondonelectricdeliveryvehicletrial', 'key', 'barriers', 'reporthttpsdatalondongovukdownloadlowemissionsprojectdieselvehiclebaselineb0e6f3c2e9df4e2bb9e2d0f469e84853mol20key20barriers2020finalpdf', 'report', 'addresses', 'key', 'barriers', 'wider', 'adoption', 'electric', 'vans', 'within', 'london', 'many', 'views', 'expressed', 'solutions', 'proposed', 'obtained', 'stakeholders', 'direct', 'engagement', 'baseline', 'reporthttpsdatalondongovukdownloadlowemissionsprojectdieselvehiclebaselinebde2d3680d7f4161aeac386e47183130mol20baseline20reportpdf', 'report', 'addresses', 'baseline', 'exercise', 'carried', 'using', 'hired', 'diesel', 'vehicles', 'nissan', 'nv200', 'fiat', 'ducato', 'equivalent', 'size', 'electric', 'vans', 'used', 'trial', 'charging', 'infrastructure', 'network', 'analysis', 'reporthttpsdatalondongovukdownloadlowemissionsprojectdieselvehiclebaseline0725238c0dd7445092bc9cb736df6153charging20infrastructure20and20network20analysis20reportpdf', 'report', 'evaluates', 'performance', 'describes', 'charging', 'requirements', 'grid', 'impact', 'project', 'trial', 'also', 'details', 'early', 'findings', 'data', 'collected', 'existing', 'fleet', 'trial', 'vehicles', 'charging', 'infrastructure', 'grid', 'analysis', 'report', 'refreshhttpsdatalondongovukdownloadlowemissionsprojectdieselvehiclebaseline6cf96c7d3f75448fab04cbbf0b51cbdecharging20infrastructure20and20grid20analysis20report20refreshpdf', 'report', 'presents', 'grid', 'network', 'implications', 'electric', 'vehicle', 'ev', 'uptake', 'london', 'delivery', 'fleet', 'updating', 'previous', 'report', 'topic', 'operational', 'costs', 'environmental', 'benefits', 'assessmenthttpsdatalondongovukdownloadlowemissionsprojectdieselvehiclebaseline2b1e8ee394aa415b93307eb59443a649operational20costs20and20emissions20benefits20assessmentpdf', 'report', 'provides', 'assessment', 'relative', 'operational', 'costs', 'emission', 'benefits', 'introducing', 'electric', 'lgvs', 'across', 'different', 'scales', 'quarterly', 'environmental', 'update', 'reports', 'report', 'focuses', 'air', 'pollutant', 'savings', 'quarter', 'presented', 'terms', 'vehicle', 'exhaust', 'emissions', 'oxides', 'nitrogen', 'particulate', 'matter', 'carbon', 'dioxide', 'final', 'data', 'analysis', 'reporthttpsdatalondongovukdownloadlowemissionsprojectdieselvehiclebaseline3aeb1ff3e0a74bbd9dbe851168db19a1final20data20analysis20reportpdf', 'report', 'concentrates', 'analysis', 'data', 'eg', 'distance', 'travelled', 'etc', 'collected', 'fleetcarma', 'telematics', 'system', 'trial', 'larger', 'modified', 'evs', 'comparable', 'size', 'diesel', 'vans', 'source', 'httpsckanpublishingservicegovukdatasetmayoroflondongnewtcargoelectricvehicletrial', 'last', 'updated', 'httpsckanpublishingservicegovukdataset', '20200214']",[],https://data.world/datagov-uk/38345f02-0437-434b-937f-921f1494362a,['pdf']
"['hawaii', 'public', 'electric', 'vehicle', 'charging', 'stations']","['dataset', 'includes', 'hawaii', '’', 'network', 'electric', 'vehicle', 'charging', 'stations', 'help', 'reduce', 'range', 'anxiety', 'el']","['dataset', 'includes', 'hawaii', '’', 'network', 'electric', 'vehicle', 'charging', 'stations', 'help', 'reduce', 'range', 'anxiety', 'electric', 'vehicle', 'drivers', 'may', 'commercial', 'license', 'subscribing', 'commercial', 'license', 'john', 'snow', 'labs', 'data', 'library', 'includes', 'datasets', 'curated', 'maintained', 'john', 'snow', 'labs', 'please', 'visit', 'httpswwwjohnsnowlabscommarketplacehttpswwwjohnsnowlabscommarketplace']",[],https://data.world/johnsnowlabs/hawaii-public-electric-vehicle-charging-stations,"['json', 'gz', 'csv', 'pdf']"
